Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
511855,22313,OFFICE MUG WARMER PINK,6,2010-06-11 08:25:00,4.95,12681.0,France
546642,37450,CERAMIC CAKE BOWL + HANGING CAKES,12,2011-03-15 13:13:00,2.95,12779.0,Poland
522328,21010,ETCHED GLASS BIRD TREE DECORATION,12,2010-09-13 16:31:00,1.25,17132.0,United Kingdom
504704,85049G,CHOCOLATE BOX RIBBONS ,1,2010-04-15 19:22:00,1.25,15031.0,United Kingdom
543554,22295,HEART FILIGREE DOVE LARGE,12,2011-02-10 10:17:00,1.65,14733.0,United Kingdom
533294,21060,PARTY INVITES BALLOON GIRL,12,2010-11-16 16:01:00,0.85,13081.0,United Kingdom
570443,22195,LARGE HEART MEASURING SPOONS,80,2011-10-10 14:37:00,1.45,17203.0,United Kingdom
521839,79191C,RETRO PLASTIC ELEPHANT TRAY,12,2010-09-09 10:50:00,0.85,12635.0,Germany
537222,85150,LADIES & GENTLEMEN METAL SIGN,1,2010-12-05 16:00:00,2.55,14404.0,United Kingdom
528574,22827,GIANT SEVENTEEN DRAWER SIDEBOARD,1,2010-10-22 13:10:00,165.0,13106.0,United Kingdom
508039,21100,CHARLIE AND LOLA CHARLOTTE BAG,2,2010-05-12 12:18:00,1.65,16898.0,United Kingdom
522622,22630,DOLLY GIRL LUNCH BOX,2,2010-09-15 15:32:00,1.95,17589.0,United Kingdom
531342,22633,HAND WARMER UNION JACK,6,2010-11-07 12:56:00,2.1,17041.0,United Kingdom
541795,22149,FELTCRAFT 6 FLOWER FRIENDS,5,2011-01-21 13:47:00,2.1,14692.0,United Kingdom
572333,23319,BOX OF 6 MINI 50'S CRACKERS,6,2011-10-24 10:23:00,2.49,13704.0,United Kingdom
536415,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,5,2010-12-01 11:57:00,2.95,12838.0,United Kingdom
566875,20727,LUNCH BAG  BLACK SKULL.,10,2011-09-15 13:43:00,1.65,17669.0,United Kingdom
565471,22457,NATURAL SLATE HEART CHALKBOARD ,6,2011-09-05 10:12:00,2.95,13931.0,United Kingdom
568142,21034,REX CASH+CARRY JUMBO SHOPPER,1,2011-09-25 11:22:00,0.95,16744.0,United Kingdom
564734,84987,SET OF 36 TEATIME PAPER DOILIES,6,2011-08-28 13:32:00,1.45,12484.0,Spain
544472,22112,CHOCOLATE HOT WATER BOTTLE,24,2011-02-21 09:09:00,4.25,15129.0,United Kingdom
577985,23434,3 RAFFIA RIBBONS 50'S CHRISTMAS ,10,2011-11-22 12:25:00,0.79,15116.0,United Kingdom
575342,22946,WOODEN ADVENT CALENDAR CREAM,6,2011-11-09 14:44:00,16.95,17528.0,United Kingdom
555604,21892,TRADITIONAL WOODEN CATCH CUP GAME ,12,2011-06-06 11:37:00,1.25,16612.0,United Kingdom
531452,22155,STAR DECORATION RUSTIC,48,2010-11-08 13:05:00,0.42,14530.0,United Kingdom
503155,22386,JUMBO BAG PINK WITH WHITE SPOTS,10,2010-03-30 12:35:00,1.95,15981.0,United Kingdom
494636,84520D,PACK OF 20 FAIRY CAKE PAPER NAPKINS,6,2010-01-17 10:27:00,0.85,16335.0,United Kingdom
527911,22652,TRAVEL SEWING KIT,3,2010-10-19 12:50:00,1.65,16710.0,United Kingdom
530846,22759,SET OF 3 NOTEBOOKS IN PARCEL,12,2010-11-04 14:26:00,1.65,17977.0,United Kingdom
523867,85025C,PINK HEART SHAPE PHOTO FRAME,3,2010-09-24 12:43:00,1.65,13174.0,United Kingdom
534054,22941,CHRISTMAS LIGHTS 10 REINDEER,3,2010-11-21 10:38:00,8.5,16746.0,United Kingdom
578513,22385,JUMBO BAG SPACEBOY DESIGN,10,2011-11-24 13:32:00,2.08,16609.0,United Kingdom
560590,22728,ALARM CLOCK BAKELIKE PINK,4,2011-07-19 15:55:00,3.75,12560.0,Germany
557853,21621,VINTAGE UNION JACK BUNTING,12,2011-06-23 11:01:00,8.5,16258.0,United Kingdom
561502,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2011-07-27 14:14:00,2.95,14305.0,United Kingdom
558441,21679,SKULLS  STICKERS,1,2011-06-29 12:59:00,0.85,14606.0,United Kingdom
544303,22197,SMALL POPCORN HOLDER,2,2011-02-17 13:28:00,0.85,18116.0,United Kingdom
557125,22978,PANTRY ROLLING PIN,216,2011-06-16 18:40:00,3.39,17450.0,United Kingdom
511290,21983,PACK OF 12 BLUE PAISLEY TISSUES ,12,2010-06-07 14:52:00,0.29,12937.0,United Kingdom
573581,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2011-10-31 14:22:00,2.1,14911.0,EIRE
551013,22722,SET OF 6 SPICE TINS PANTRY DESIGN,4,2011-04-26 10:54:00,3.95,15108.0,European Community
541683,22332,SKULLS PARTY BAG + STICKER SET,6,2011-01-20 15:01:00,1.65,14085.0,United Kingdom
510623,21212,PACK OF 72 RETRO SPOT CAKE CASES,120,2010-06-02 11:11:00,0.42,17511.0,United Kingdom
504833,48129,DOOR MAT TOPIARY,2,2010-04-16 13:40:00,7.49,14907.0,United Kingdom
545054,22295,HEART FILIGREE DOVE LARGE,1,2011-02-27 12:41:00,1.65,14472.0,United Kingdom
535662,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,2010-11-28 11:37:00,2.95,16782.0,United Kingdom
561197,21977,PACK OF 60 PINK PAISLEY CAKE CASES,4,2011-07-25 14:35:00,0.55,16364.0,United Kingdom
580027,23439,HAND WARMER RED LOVE HEART,6,2011-12-01 12:01:00,2.1,14178.0,United Kingdom
508175,21232,STRAWBERRY CERAMIC TRINKET BOX,16,2010-05-13 11:58:00,1.25,14714.0,United Kingdom
552563,22745,POPPY'S PLAYHOUSE BEDROOM ,6,2011-05-10 11:54:00,2.1,17597.0,United Kingdom
547088,21537,RED RETROSPOT PUDDING BOWL,4,2011-03-20 16:02:00,4.25,14223.0,United Kingdom
507403,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,1,2010-05-09 13:41:00,1.49,14606.0,United Kingdom
577095,22555,PLASTERS IN TIN STRONGMAN,2,2011-11-17 16:39:00,1.65,15867.0,United Kingdom
577479,22175,PINK OWL SOFT TOY,12,2011-11-20 11:34:00,2.95,14911.0,EIRE
532587,85049A,TRADITIONAL CHRISTMAS RIBBONS,2,2010-11-12 14:28:00,1.25,15024.0,United Kingdom
578008,84997A,CHILDRENS CUTLERY POLKADOT GREEN ,1,2011-11-22 12:47:00,4.15,14657.0,United Kingdom
523646,85040A,S/4 PINK FLOWER CANDLES IN BOWL,1,2010-09-23 12:25:00,1.65,16383.0,United Kingdom
541977,21928,JUMBO BAG SCANDINAVIAN PAISLEY,10,2011-01-24 14:44:00,1.95,15078.0,United Kingdom
536637,20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1,2010-12-02 11:35:00,1.25,18041.0,United Kingdom
580808,22405,MONEY BOX POCKET MONEY DESIGN,12,2011-12-06 11:24:00,0.39,16133.0,United Kingdom
556279,23298,SPOTTY BUNTING,6,2011-06-09 19:55:00,4.95,14562.0,United Kingdom
505501,21326,AGED GLASS SILVER T-LIGHT HOLDER,96,2010-04-22 14:07:00,0.65,18093.0,United Kingdom
574036,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,2,2011-11-02 12:46:00,9.95,16607.0,United Kingdom
552526,21191,LARGE WHITE HONEYCOMB PAPER BELL  ,5,2011-05-09 16:42:00,2.1,17576.0,United Kingdom
562046,22332,SKULLS PARTY BAG + STICKER SET,8,2011-08-02 10:34:00,1.65,12378.0,Switzerland
521166,22386,JUMBO BAG PINK WITH WHITE SPOTS,4,2010-09-02 14:52:00,1.95,17238.0,United Kingdom
547370,84849D,HOT BATHS SOAP HOLDER,3,2011-03-22 13:32:00,1.69,14711.0,United Kingdom
554337,23171,REGENCY TEA PLATE GREEN ,12,2011-05-23 17:25:00,1.65,17920.0,United Kingdom
550202,23009,I LOVE LONDON BABY GIFT SET,1,2011-04-15 10:27:00,16.95,13090.0,United Kingdom
552055,22998,TRAVEL CARD WALLET KEEP CALM,48,2011-05-06 10:32:00,0.42,16353.0,United Kingdom
537225,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,2,2010-12-05 16:41:00,2.95,12748.0,United Kingdom
558248,85099B,JUMBO BAG RED RETROSPOT,100,2011-06-27 16:48:00,1.79,13798.0,United Kingdom
546424,22089,PAPER BUNTING VINTAGE PAISLEY,1,2011-03-13 12:51:00,2.95,13956.0,United Kingdom
558437,21558,SKULL LUNCH BOX WITH CUTLERY ,2,2011-06-29 12:46:00,2.55,17799.0,United Kingdom
566283,22417,PACK OF 60 SPACEBOY CAKE CASES,24,2011-09-11 14:34:00,0.55,17838.0,United Kingdom
515181,85142,JARDIN ETCHED GLASS GINGER JAR,1,2010-07-08 19:12:00,7.95,17231.0,United Kingdom
490300,22150, 3 STRIPEY MICE FELTCRAFT,1,2009-12-04 14:19:00,1.95,12970.0,United Kingdom
516162,84946,ANTIQUE SILVER TEA GLASS ETCHED,6,2010-07-18 12:07:00,1.25,14553.0,United Kingdom
538049,20967,GREY FLORAL FELTCRAFT SHOULDER BAG,1,2010-12-09 13:21:00,3.75,12748.0,United Kingdom
573481,84931A,PINK SCOTTIE DOG W FLOWER PATTERN,6,2011-10-31 11:10:00,2.55,13994.0,United Kingdom
561386,23293,SET OF 12 FAIRY CAKE BAKING CASES,12,2011-07-27 09:14:00,0.83,15660.0,United Kingdom
519171,47570B,TEA TIME TABLE CLOTH,4,2010-08-13 13:45:00,10.65,12484.0,Spain
579491,22554,PLASTERS IN TIN WOODLAND ANIMALS,1,2011-11-29 15:23:00,1.65,14723.0,United Kingdom
564850,35607B,BLACK FEATHER CHRISTMAS DECORATION,10,2011-08-30 16:43:00,0.19,17298.0,United Kingdom
541410,21755,LOVE BUILDING BLOCK WORD,6,2011-01-17 16:06:00,5.95,13089.0,United Kingdom
500094,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-03-04 12:24:00,2.95,15005.0,United Kingdom
538353,37450,CERAMIC CAKE BOWL + HANGING CAKES,36,2010-12-10 15:31:00,2.55,13798.0,United Kingdom
514851,22618,COOKING SET RETROSPOT,2,2010-07-06 16:26:00,9.95,17145.0,United Kingdom
580064,23507,MINI PLAYING CARDS BUFFALO BILL ,10,2011-12-01 13:32:00,0.42,18077.0,United Kingdom
557064,23300,GARDENERS KNEELING PAD CUP OF TEA ,2,2011-06-16 15:07:00,1.65,13263.0,United Kingdom
580664,71459,HANGING JAM JAR T-LIGHT HOLDERS,12,2011-12-05 14:03:00,0.85,15097.0,United Kingdom
500360,21672,WHITE SPOT RED CERAMIC DRAWER KNOB,12,2010-03-07 15:50:00,1.25,17158.0,United Kingdom
527473,20984,12 PENCILS TALL TUBE POSY,2,2010-10-18 11:22:00,0.85,15900.0,United Kingdom
573376,21696,SMALL SILVER TRELLIS CANDLEPOT,2,2011-10-30 13:50:00,2.95,13617.0,United Kingdom
528318,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,2,2010-10-21 12:38:00,3.75,16933.0,United Kingdom
531768,21917,SET 12 KIDS  WHITE CHALK STICKS,1,2010-11-09 14:06:00,0.42,14170.0,United Kingdom
568654,23174,REGENCY SUGAR BOWL GREEN,4,2011-09-28 12:20:00,4.15,14911.0,EIRE
534066,22736,RIBBON REEL MAKING SNOWMEN ,1,2010-11-21 11:28:00,1.65,17920.0,United Kingdom
580613,23375,50'S CHRISTMAS PAPER GIFT BAG,10,2011-12-05 12:03:00,0.82,14759.0,United Kingdom
548358,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,12,2011-03-30 15:29:00,0.95,15832.0,United Kingdom
560696,90214M,"LETTER ""M"" BLING KEY RING",1,2011-07-20 12:14:00,1.25,14606.0,United Kingdom
538077,22585,PACK OF 6 BIRDY GIFT TAGS,37,2010-12-09 14:19:00,1.25,14667.0,United Kingdom
532804,21499,BLUE POLKADOT WRAP,25,2010-11-14 15:05:00,0.42,16719.0,United Kingdom
534786,22113,GREY HEART HOT WATER BOTTLE,1,2010-11-24 11:21:00,3.75,15854.0,United Kingdom
542907,21363,HOME SMALL WOOD LETTERS,15,2011-02-01 15:15:00,4.95,13854.0,United Kingdom
498553,22332,SKULLS PARTY BAG + STICKER SET,6,2010-02-21 11:02:00,1.65,15013.0,United Kingdom
503547,21911,GARDEN METAL SIGN ,1,2010-04-01 14:52:00,1.65,14049.0,United Kingdom
527922,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2010-10-19 13:18:00,1.25,13615.0,United Kingdom
540349,22380,TOY TIDY SPACEBOY  ,10,2011-01-06 14:07:00,2.1,15379.0,United Kingdom
512567,22138,BAKING SET 9 PIECE RETROSPOT ,6,2010-06-16 14:41:00,4.95,14619.0,United Kingdom
541509,85230B,CINNAMON SCENTED VOTIVE CANDLE,3,2011-01-18 16:31:00,0.29,13263.0,United Kingdom
548651,48138,DOORMAT UNION FLAG,10,2011-04-01 13:33:00,6.75,14970.0,United Kingdom
570888,21889,WOODEN BOX OF DOMINOES,12,2011-10-13 10:26:00,1.25,17509.0,United Kingdom
509170,22635,CHILDS BREAKFAST SET DOLLY GIRL ,8,2010-05-20 15:09:00,8.5,16705.0,United Kingdom
577473,22620,4 TRADITIONAL SPINNING TOPS,1,2011-11-20 11:28:00,1.45,15919.0,United Kingdom
523990,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2010-09-26 14:20:00,0.55,14688.0,United Kingdom
542527,22911,PAPER CHAIN KIT LONDON,6,2011-01-28 12:48:00,2.95,17188.0,United Kingdom
513332,21976,PACK OF 60 MUSHROOM CAKE CASES,24,2010-06-24 09:06:00,0.55,14790.0,United Kingdom
573263,21162,TOXIC AREA  DOOR HANGER ,240,2011-10-28 12:34:00,0.39,13694.0,United Kingdom
569524,23493,VINTAGE DOILY TRAVEL SEWING KIT,1,2011-10-04 14:42:00,1.95,14506.0,United Kingdom
501731,21985,PACK OF 12 HEARTS DESIGN TISSUES ,12,2010-03-19 11:07:00,0.29,16008.0,United Kingdom
508197,35819B,"ACRYLIC HANGING JEWEL,BLUE",1,2010-05-13 13:31:00,1.25,16906.0,United Kingdom
542006,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,24,2011-01-25 11:20:00,0.95,15218.0,United Kingdom
544930,22667,RECIPE BOX RETROSPOT ,2,2011-02-24 18:26:00,2.95,17472.0,United Kingdom
549126,22030,SWALLOWS GREETING CARD,12,2011-04-06 14:23:00,0.42,16031.0,United Kingdom
517042,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-07-26 11:46:00,0.95,13069.0,United Kingdom
567878,21976,PACK OF 60 MUSHROOM CAKE CASES,2,2011-09-22 14:42:00,0.55,16910.0,United Kingdom
527513,22604,SET OF 4 NAPKIN CHARMS CUTLERY,8,2010-10-18 12:57:00,2.55,16441.0,United Kingdom
557298,23306,SET OF 36 DOILIES PANTRY DESIGN,12,2011-06-19 13:55:00,1.45,17519.0,United Kingdom
505743,21781,MA CAMPAGNE CUTLERY BOX,1,2010-04-25 16:07:00,14.95,13152.0,United Kingdom
539041,22419,LIPSTICK PEN RED,10,2010-12-15 15:34:00,0.42,15456.0,United Kingdom
570855,23351,ROLL WRAP 50'S CHRISTMAS,12,2011-10-12 14:56:00,1.25,17314.0,United Kingdom
491979,48185,DOOR MAT FAIRY CAKE,20,2009-12-15 08:01:00,5.95,13162.0,United Kingdom
535266,22897,OVEN MITT APPLES DESIGN,2,2010-11-25 13:32:00,1.45,14159.0,United Kingdom
515183,21976,PACK OF 60 MUSHROOM CAKE CASES,1,2010-07-08 20:00:00,0.55,16549.0,United Kingdom
567697,47566,PARTY BUNTING,4,2011-09-22 08:41:00,4.95,16558.0,United Kingdom
563848,22149,FELTCRAFT 6 FLOWER FRIENDS,12,2011-08-19 14:57:00,2.1,14911.0,EIRE
571745,22835,HOT WATER BOTTLE I AM SO POORLY,4,2011-10-19 10:48:00,4.95,14911.0,EIRE
500879,85196,EASTER BUNNIES ON A STICK,24,2010-03-10 14:24:00,0.55,15093.0,United Kingdom
552315,85169D,PINK LOVE BIRD CANDLE,12,2011-05-08 16:10:00,1.25,12700.0,France
501657,21222,SET/4 BADGES BEETLES,1,2010-03-18 13:10:00,1.25,13243.0,United Kingdom
523351,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,6,2010-09-21 16:37:00,2.75,17850.0,United Kingdom
517481,C2,CARRIAGE,1,2010-07-29 12:27:00,100.0,12737.0,France
494795,22189,CREAM HEART CARD HOLDER,3,2010-01-18 14:14:00,3.95,13110.0,United Kingdom
530083,21284,RETROSPOT CANDLE  SMALL,24,2010-11-01 13:04:00,0.42,13148.0,United Kingdom
521010,21268,VINTAGE BLUE TINSEL REEL,1,2010-09-01 14:37:00,0.42,15574.0,United Kingdom
569565,23204,CHARLOTTE BAG APPLES DESIGN,10,2011-10-05 09:52:00,0.85,16722.0,United Kingdom
531922,22747,POPPY'S PLAYHOUSE BATHROOM,2,2010-11-10 12:09:00,2.1,17974.0,United Kingdom
544645,21731,RED TOADSTOOL LED NIGHT LIGHT,24,2011-02-22 11:58:00,1.65,16843.0,United Kingdom
500172,47591D,PINK FAIRY CAKE CHILD'S APRON,50,2010-03-05 10:12:00,1.2,18102.0,United Kingdom
513953,22135,LADLE LOVE HEART PINK,12,2010-06-29 14:14:00,0.42,14426.0,United Kingdom
496617,22242,"HOOK, 5 HANGER , MAGIC TOADSTOOL",24,2010-02-03 09:06:00,1.65,12805.0,Netherlands
567821,23355,HOT WATER BOTTLE KEEP CALM,2,2011-09-22 12:45:00,4.95,14659.0,United Kingdom
508156,20990,SPRING FLOWER CHOPSTICKS SET/5,6,2010-05-13 11:42:00,1.95,16550.0,United Kingdom
502028,21437,24 HANGING EASTER EGGS FLORAL TUB,4,2010-03-22 13:07:00,3.75,13313.0,United Kingdom
506681,79320,FLAMINGO LIGHTS,4,2010-05-02 10:54:00,4.95,17519.0,United Kingdom
550957,22755,SMALL PURPLE BABUSHKA NOTEBOOK ,1,2011-04-21 16:37:00,0.85,18283.0,United Kingdom
540019,21868,POTTING SHED TEA MUG,12,2011-01-04 12:18:00,1.25,12957.0,United Kingdom
548664,22241,GARLAND WOODEN HAPPY EASTER,12,2011-04-01 14:45:00,1.25,14911.0,EIRE
559682,21733,RED HANGING HEART T-LIGHT HOLDER,1,2011-07-11 14:55:00,2.95,17337.0,United Kingdom
562984,79066K,RETRO MOD TRAY,2,2011-08-11 11:45:00,0.85,17841.0,United Kingdom
569824,23319,BOX OF 6 MINI 50'S CRACKERS,3,2011-10-06 12:22:00,2.49,17295.0,United Kingdom
573576,22979,PANTRY WASHING UP BRUSH,1,2011-10-31 14:09:00,3.29,14096.0,United Kingdom
524351,22616,PACK OF 12 LONDON TISSUES ,12,2010-09-28 16:25:00,0.29,13554.0,United Kingdom
572074,23202,JUMBO BAG VINTAGE LEAF,1,2011-10-20 13:54:00,2.08,16284.0,United Kingdom
506290,22478,BIRDHOUSE GARDEN MARKER ,10,2010-04-29 09:16:00,1.25,14911.0,EIRE
567148,22952,60 CAKE CASES VINTAGE CHRISTMAS,72,2011-09-16 15:23:00,0.55,18225.0,United Kingdom
523989,21974,SET OF 36 PAISLEY FLOWER DOILIES,12,2010-09-26 14:15:00,1.45,14105.0,United Kingdom
490399,20829,GLITTER HANGING BUTTERFLY STRING,8,2009-12-06 10:38:00,2.1,12975.0,United Kingdom
516333,79029,GLASS HONEYPOT WASP CATCHER,6,2010-07-19 16:18:00,1.95,17188.0,United Kingdom
559887,84927F,PSYCHEDELIC TILE HOOK,1,2011-07-13 11:44:00,0.39,13263.0,United Kingdom
496321,21429,RED GINGHAM ROSE JEWELLERY BOX,2,2010-01-31 12:43:00,1.65,16014.0,United Kingdom
533290,21485,RETROSPOT HEART HOT WATER BOTTLE,6,2010-11-16 15:46:00,4.95,14911.0,EIRE
494586,21114,LAVENDER SCENTED FABRIC HEART,5,2010-01-15 11:36:00,1.25,18106.0,United Kingdom
573133,22627,MINT KITCHEN SCALES,2,2011-10-27 16:58:00,8.5,15288.0,United Kingdom
532636,20768,GREEN FERN JOURNAL ,6,2010-11-12 15:46:00,2.55,12635.0,Germany
489909,21438,TUB 24 HANGING EASTER EGGS SPOTTY,20,2009-12-03 10:20:00,3.75,13753.0,United Kingdom
534721,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2010-11-23 18:11:00,1.25,15660.0,United Kingdom
513210,22499,WOODEN UNION JACK BUNTING,12,2010-06-23 09:52:00,5.95,16325.0,United Kingdom
560650,23238,SET OF 4 KNICK KNACK TINS LONDON ,2,2011-07-20 11:38:00,4.15,15529.0,United Kingdom
570448,22193,RED DINER WALL CLOCK,2,2011-10-10 14:55:00,8.5,13224.0,United Kingdom
513987,22504,CABIN BAG VINTAGE RETROSPOT,1,2010-06-30 08:30:00,29.95,12415.0,Australia
514512,85129A,"WHITE PEARL BEADED HEART, SMALL",3,2010-07-04 13:33:00,1.25,14247.0,United Kingdom
563925,22694,WICKER STAR ,2,2011-08-21 14:42:00,2.1,13610.0,United Kingdom
499220,85114B,IVORY ENCHANTED FOREST PLACEMAT,4,2010-02-25 11:32:00,1.65,14606.0,United Kingdom
524099,20966,SANDWICH BATH SPONGE,10,2010-09-27 12:24:00,1.25,13448.0,United Kingdom
524337,22601,CHRISTMAS RETROSPOT ANGEL WOOD,12,2010-09-28 15:46:00,0.85,14410.0,United Kingdom
536674,84509G,SET OF 4 FAIRY CAKE PLACEMATS ,2,2010-12-02 12:16:00,3.75,15923.0,United Kingdom
554974,21128,GOLD FISHING GNOME,4,2011-05-27 17:14:00,6.95,14031.0,United Kingdom
524548,20712,JUMBO BAG WOODLAND ANIMALS,10,2010-09-29 14:05:00,1.95,15298.0,United Kingdom
577393,23020,GLASS  SONGBIRD STORAGE JAR,8,2011-11-18 17:06:00,11.15,14031.0,United Kingdom
542382,85175,CACTI T-LIGHT CANDLES,16,2011-01-27 14:10:00,0.42,14738.0,United Kingdom
543626,22423,REGENCY CAKESTAND 3 TIER,2,2011-02-10 15:40:00,12.75,15796.0,United Kingdom
571909,22123,PING MICROWAVE APRON,1,2011-10-19 15:08:00,1.95,15006.0,United Kingdom
522626,22423,REGENCY CAKESTAND 3 TIER,16,2010-09-15 16:22:00,10.95,15513.0,United Kingdom
567474,23076,ICE CREAM SUNDAE LIP GLOSS,24,2011-09-20 12:53:00,1.25,13448.0,United Kingdom
535590,22555,PLASTERS IN TIN STRONGMAN,13,2010-11-26 16:20:00,1.65,17218.0,United Kingdom
565155,22781,GUMBALL MAGAZINE RACK,12,2011-09-01 14:58:00,6.75,16672.0,United Kingdom
496641,21524,SPOTTY  HOME SWEET HOME DOORMAT,10,2010-02-03 11:46:00,5.95,15091.0,United Kingdom
